Gene Group	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
Hist1h1d	6.16831402522547	6.1275446238945	6.06008718314581	6.07454554070968	5.94806769879525	5.9386846983697	5.8128242631706	6.14944984912911	6.1385409985178	6.17210916331223	6.05896568540807	5.96232687197866	5.96907459039272	5.87331007360673
Hist1h1e	7.24852524886596	7.20906376523562	7.10977705312984	7.12417613972952	6.99592985195781	6.94825431080673	6.97406989392281	7.17583313407813	7.04694680221713	7.1052595678874	7.09010263881851	7.12905411822853	6.93452201265897	6.93599949871146
Hist1h2bh;Hist1h2bg	10.1139928053747	10.1603145011526	10.08067138965	10.0588639274608	10.0558707980383	9.85791645544139	9.87238431841965	10.138930635326	10.1318036101117	10.1564011003135	9.93299177132628	10.0266609264382	9.95208401489892	9.96898884626955
Hist2h2bb	2.59829023279025	2.63204008093729	2.59160143704156	2.48403825087099	2.59362281739364	2.41216781317926	2.41141269606561	2.50317286074705	2.56495758690113	2.59076772274633	2.50785368588634	2.54966926069622	2.50684252113181	2.41984990015168
Hk2	4.48592579675522	4.42176265409201	4.45009092701432	4.3882131300838	4.36262612080827	4.28239400816124	4.28604620514617	4.46062779832877	4.52487571174985	4.46603897274283	4.48331389047248	4.40981355572199	4.35380046426888	4.28874445803865
Hmga1;Hmga1-rs1	6.28545253542625	6.3949534048099	6.24103260072259	6.26540180633337	6.1571154273908	6.13139030249584	5.97494359504522	6.31685892918483	6.21428245443243	6.15980023489324	6.22679484878674	6.16075636557202	6.10558648417031	6.0742003980927
Hmgcl	5.46867288317531	5.37854700201148	5.50020704220011	5.40758421287839	5.37713334204109	5.30098823721486	5.29011419219837	5.40648983324384	5.43020173995233	5.47330346173441	5.45264865249873	5.32131801658486	5.30103353732408	5.31641306421097
Hmha1	4.91730073480185	4.87874581709416	4.84980474410102	4.85077201694947	4.78559782076991	4.70936425892688	4.6964074614567	4.86294342096048	4.89873071872754	4.91487255045325	4.79637309626624	4.81479636052558	4.78830981180512	4.81444524493899
Hn1	5.41111591887454	5.37911379902228	5.37022702313051	5.32172504768949	5.20542128491923	5.15329387506589	5.00923341597497	5.40889250416403	5.27869083932073	5.34782276858077	5.219877975874	5.26732127985399	5.12074844840133	5.04198423130845
Hnrnpa0	5.79477211600156	5.7246544841019	5.75429493134154	5.72062339886105	5.68557067422234	5.63171815499757	5.51904742249385	5.80649143119397	5.78312840221848	5.72633538993956	5.65537605100168	5.54847818507878	5.66916540089524	5.67005996436487
Hnrnpa1	6.72312300148918	6.65423921009095	6.69081173133226	6.69561899988182	6.67254530699739	6.56730852195504	6.58248044891163	6.71526287203746	6.6690303785393	6.66905121143807	6.6426124871651	6.67952445359827	6.56266848696082	6.54747692418236
Hnrnpa2b1;hnRNP A2/B1	7.80625866354278	7.70160015937345	7.8086168233519	7.67438930221322	7.65100170499169	7.68941317621073	7.69607316444749	7.78051909827252	7.68797079481378	7.74892514365764	7.65931349748681	7.68272732927839	7.65206681123006	7.58544540612701
Hnrnpab	6.84264027239078	6.94418298978784	6.85189479195167	6.85304226279029	6.7993172595585	6.83887947696174	6.78848742387426	6.92261705231881	6.82628723318529	6.78509067111615	6.89799224721827	6.79364843279677	6.84699207834223	6.76345209968677
Hnrnpd	7.03695406070973	6.95086566138814	6.94930219732112	6.90165588393368	6.9301059823206	6.90226274823914	6.8109897665531	6.97084767098991	6.90039866476905	6.89621718296288	6.93105205501215	6.92279197211235	6.87380730629125	6.7702137560559
Hnrnph2	5.4060221630353	5.42453089746072	5.49655170664071	5.38097694475458	5.2365221049861	5.28285223191824	5.29118429182653	5.38160828735697	5.42049121582906	5.4567079193239	5.35182576191263	5.37594438080729	5.22854887544361	5.27142813724161
Hnrnph3	3.16656079161751	3.16993164165305	3.12055808432853	3.18836989854628	3.16192215768415	3.00042654884346	3.010335632735	3.1535648087038	3.23731743557342	3.14167700163862	3.18364046715821	3.15945813676656	3.05574958334662	3.01112397112152
Hnrnpl	6.42006251338571	6.31992146234696	6.39205044897681	6.33020967410114	6.25011001494934	6.29177669856656	6.22387334844413	6.31286763153679	6.34771398822396	6.30966080146338	6.31415967744913	6.30803179627227	6.34063957355263	6.21272278537349
Hnrnpr	3.84018419530728	3.70408893776225	3.71574609019638	3.68500816531039	3.63467187634551	3.58988273637886	3.57565936449803	3.73866252552599	3.73469965249239	3.78039588277592	3.70248284664473	3.75045360609434	3.56453191247243	3.54999958164665
Hnrnpu;AK049600	7.00567040637944	7.0648563154842	7.12966698376601	7.01058229435414	7.02039881686191	6.95348760748559	7.08537062183814	7.12010112468093	7.03622592783031	7.10613779055027	6.94148372431883	7.025337052291	6.86897221694181	6.97392176503708
