Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Lemd2	62.76057893	37.16678356	30.03234676	33.16663896	38.69857045	42.12232972	54.66179602	47.4919565	30.2447582	21.49326937	28.16430121	32.69914198	45.30951579	43.40473159
Nomo1	32.29982871	32.37859237	27.58145416	20.01332936	11.86951792	12.40888497	12.40995738	17.4719724	19.51850164	23.68845155	11.53306	10.26686696	4.750317692	6.132153424
Prdx6	202.2164754	227.5820689	239.5462323	251.1663249	217.9330593	249.4282581	321.030682	118.3368471	172.9727342	232.1991567	170.8860481	168.4609786	148.5126426	184.8105463
Ifit2	3.992413744	15.97066095	403.5787718	1758.182899	2128.465797	1682.993013	1335.786287	2.356631793	19.82098934	307.2357202	2174.200621	2168.414078	1623.194838	1269.363356
Tpm4	697.4560944	615.2577423	779.9887729	707.8531292	780.2523144	827.3108232	674.781534	437.1908263	529.1402268	568.0792606	519.8677289	601.8983764	398.0852772	435.7456698
Cltb	69.72628332	44.25966038	50.41159852	39.07567541	22.26740628	12.5813353	11.16343833	63.67050715	53.21863755	34.30135798	27.14644903	27.11617071	18.83026933	11.149598
Exoc3	31.21431985	28.96373058	16.65213023	23.16875051	20.64239135	21.50029218	17.27842902	42.07635785	45.73184623	26.42030532	28.36434162	34.86845406	33.62523162	28.73136105
Nipbl	74.15553655	105.374632	63.85691544	65.39385015	68.05554296	52.86676807	64.18247184	141.6531849	168.2440718	100.677244	123.8677476	96.18860908	135.0188297	127.8522296
Pdcd11;mKIAA0185	34.25052325	38.05094676	22.61279219	13.51525521	15.44968403	9.106612353	10.40026325	36.48521814	56.01315095	15.30667862	15.68484377	18.07390307	8.983500239	15.59733111
Sp140	65.14827235	136.6171332	392.4672215	586.9960969	493.9603263	390.6477211	397.0390015	54.68067143	219.8564034	445.7491384	729.5526603	607.1612656	446.4638957	480.7860382
