ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000125872	4.2029167213	4.1544040423	4.105900264	4.0092268078	4.1027936394	4.1249019252	4.2539070282	4.3606951562	4.3072848522	4.3216645304	4.3365384089	4.3739375547	4.4555467674	4.5271160435	4.610282146	4.6809751789
ENSG00000162843	4.2116628156	4.2597912696	4.3083360498	4.4060400342	4.5845374956	4.3073813823	4.1024287202	3.9549361867	4.0501174479	4.1176916702	4.1846796978	4.3198024065	4.2236777128	4.2751185858	4.2449855842	4.2216764547
ENSG00000168065	4.1995229749	4.1027906236	4.0055960325	3.8067635711	4.3461211283	4.236217541	4.2382156077	4.2522306955	3.9038723446	3.9844532483	4.064802627	4.2269875277	4.2243742617	4.3880247758	4.343010879	4.3202325949
ENSG00000205865	4.146115595	4.2530141635	4.3586727411	4.562765524	3.9800020463	4.1356361309	4.1703794562	4.1823900358	3.9929384788	3.9344666505	3.875680637	3.7586275361	4.2227575858	4.2389555619	4.1122930558	4.0173960946
ENSG00000171446	4.5891693143	4.3980055078	4.2074072373	3.8286678771	3.9790502327	4.1186854281	4.3781337537	4.5849509464	4.2208682479	4.1444492077	4.0688543691	3.9230283482	4.2825824309	3.950497533	3.7602731053	3.6318520106
ENSG00000222011	13.6614165728	13.609498528	13.5567463391	13.4479374503	12.0164883037	12.608879441	13.1215552007	13.4946274836	13.7357258271	13.5389172828	13.341549347	12.9428670944	12.9208548927	13.0382546021	13.2542952865	13.4307631592
ENSG00000196787	5.4503233505	5.6733219913	5.8963204921	6.3423137645	6.5751097658	5.9438049625	5.6790920687	5.4286825775	6.6635411725	6.2508115984	5.8387062324	5.0220452913	5.6012448585	5.7616158582	5.5770601205	5.3991902896
ENSG00000172071	6.2295760296	6.7721002101	7.3169953696	8.4217538414	7.199664238	7.2489628838	6.8320677761	6.4732435503	6.391535074	6.9211832894	7.4507216372	8.5138842121	7.7257464277	7.540676623	7.021635954	6.6224948384
ENSG00000184608	5.1950825346	5.1747829902	5.1522145619	5.1069592211	5.2127573234	5.7583950979	5.8351198816	5.8938483002	5.4683264045	5.5551552197	5.645404654	5.8496786141	6.2005856525	5.6822600633	5.5828794902	5.545492685
ENSG00000102531	10.1275046037	10.3344332951	10.5425951572	10.9658256486	12.0603748019	11.2982990862	10.6684190171	10.2088670837	10.3336746847	10.5098048837	10.6864127996	11.0444584024	10.7270251829	10.4190851162	10.2371635446	10.1177222504
ENSG00000255004	3.7861411076	3.9165848406	4.0470285736	4.3079160395	4.5271837431	4.5290130211	4.488997541	4.4554066587	4.4817064024	4.4842609416	4.4889830926	4.5075016165	4.591318534	4.4449220316	4.4452147151	4.4564883005
ENSG00000249476	4.682259855	4.8838564552	5.0865928081	5.4982449009	5.2944631017	5.0446915646	4.75550151	4.5308650315	4.8477622592	4.9108805423	4.9727334351	5.0902275091	6.433192628	5.6449213269	5.1133892148	4.7411858106
ENSG00000181019	9.9149673579	9.9197825943	9.9247623069	9.937367312	8.8880947428	9.6405746459	10.3605105627	10.8968014401	10.2124445307	10.0897024249	9.9665319459	9.7195035588	9.837472011	10.2882744413	10.6345424182	10.8845475401
ENSG00000146352	4.4890174395	4.426259263	4.3635354546	4.2382482482	4.3464533051	4.3854222726	4.4236588286	4.4523362455	4.5783230395	4.5596020859	4.5420567949	4.5133488792	4.7355049742	4.4013568036	4.0828462466	3.8435313378
ENSG00000138670	4.5203830305	4.737528544	4.954557077	5.387227982	4.8813871689	4.6046593974	4.5699957828	4.5558241249	4.1821499511	4.2915144559	4.401695168	4.6309048636	4.6561485949	4.6139339805	4.6819281643	4.7240867942
ENSG00000237048	3.9191397352	4.0261603029	4.132803012	4.3444728645	3.8525772534	4.1710549737	4.3919161345	4.5470747423	4.3667039028	4.3616696926	4.3563513197	4.3485866307	4.6529245789	4.2860728651	4.1800730042	4.1245407959
ENSG00000086544	9.2349609657	9.4621958709	9.6894449695	10.1441060465	11.1468564203	10.4541588271	9.7221208677	9.1720770718	9.2165249182	9.4716389223	9.7271662972	10.2412845569	11.1055436283	10.4457270287	9.8092573106	9.3356368779
ENSG00000178130	4.2848017448	4.4111139955	4.5364631884	4.7871968497	4.1031300483	4.5070332569	4.4278634336	4.3512288588	4.2392319354	4.3182332645	4.3972345937	4.555237252	4.8275047377	4.8000641625	4.8130031135	4.8284408865
ENSG00000140688	9.6798186166	9.6284616439	9.5785629938	9.4851962035	9.8692598874	10.4671267639	10.4981991804	10.4457499863	9.5687077022	9.5813466644	9.594418152	9.623652453	11.2512272463	10.9686660132	10.6202200809	10.3493062397
